state	yr	qtr	index_nsa	index_sa	Warning
AK	1999	1	132.21	132.65	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1999	2	134.17	132.77	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1999	3	135.13	133.91	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1999	4	132.38	133.02	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2000	1	132.83	133.42	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2000	2	137.38	135.95	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2000	3	138.61	137.23	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2000	4	137.11	137.76	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2001	1	140.37	141.08	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2001	2	145.09	143.63	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2001	3	147.21	145.66	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2001	4	148.99	149.67	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2002	1	149.24	149.98	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2002	2	154.43	153.01	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2002	3	158.35	156.66	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2002	4	157.58	158.16	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2003	1	160.78	161.62	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2003	2	165.26	163.83	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2003	3	167.84	165.99	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2003	4	171.00	171.58	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2004	1	174.85	175.83	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2004	2	179.59	178.02	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2004	3	185.77	183.73	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2004	4	187.98	188.52	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2005	1	191.61	193.00	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2005	2	199.54	197.49	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2005	3	207.15	204.96	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2005	4	207.51	208.01	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2006	1	211.51	213.38	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2006	2	219.14	216.57	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2006	3	220.75	218.55	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2006	4	219.83	220.06	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2007	1	221.01	223.55	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2007	2	229.27	226.22	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2007	3	226.69	224.44	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2007	4	223.13	223.21	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2008	1	216.99	219.82	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2008	2	226.58	223.57	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2008	3	223.15	220.72	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2008	4	223.37	223.20	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2009	1	223.23	226.63	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2009	2	219.16	216.34	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2009	3	217.73	214.97	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2009	4	215.98	215.79	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2010	1	210.70	214.05	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2010	2	223.20	220.71	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2010	3	225.31	221.97	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2010	4	221.11	220.82	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2011	1	221.76	225.65	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2011	2	224.22	221.77	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2011	3	228.80	225.17	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2011	4	223.39	223.17	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2012	1	215.34	219.07	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2012	2	225.27	222.84	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2012	3	230.08	226.58	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2012	4	226.73	226.33	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2013	1	225.04	229.03	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2013	2	232.10	229.21	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2013	3	232.25	229.25	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2013	4	232.07	231.69	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2014	1	227.33	230.93	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2014	2	237.51	234.38	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2014	3	238.26	235.82	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2014	4	240.04	239.63	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2015	1	237.99	241.33	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2015	2	244.77	241.30	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2015	3	243.79	241.81	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2015	4	245.62	245.54	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2016	1	243.13	245.84	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2016	2	251.89	248.31	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2016	3	249.33	247.49	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2016	4	247.36	247.67	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2017	1	248.22	250.58	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2017	2	251.57	247.93	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2017	3	255.01	253.04	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2017	4	249.60	250.39	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2018	1	253.49	255.60	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2018	2	257.75	254.12	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2018	3	255.91	253.60	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2018	4	254.73	255.88	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2019	1	257.31	259.49	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2019	2	268.15	264.44	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2019	3	267.68	264.73	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2019	4	263.88	265.44	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2020	1	265.56	267.89	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2020	2	276.49	272.78	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2020	3	277.04	273.52	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2020	4	286.58	288.45	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2021	1	288.19	290.93	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2021	2	301.92	297.94	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2021	3	314.65	310.24	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2021	4	316.63	318.98	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2022	1	321.53	324.46	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2022	2	337.03	332.79	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2022	3	344.80	339.78	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2022	4	334.69	337.27	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2023	1	341.75	344.72	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2023	2	351.54	347.26	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2023	3	354.64	349.40	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2023	4	357.75	360.74	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2024	1	357.29	360.07	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2024	2	370.31	365.83	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2024	3	377.41	372.09	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2024	4	373.32	376.37	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2025	1	383.69	386.53	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AL	1991	1	100.00	100.00	
AL	1991	2	101.54	101.24	
AL	1991	3	102.56	101.94	
AL	1991	4	103.42	102.89	
AL	1992	1	104.20	104.20	
AL	1992	2	104.59	104.27	
AL	1992	3	106.75	106.10	
AL	1992	4	108.20	107.68	
AL	1993	1	108.81	108.81	
AL	1993	2	109.94	109.57	
AL	1993	3	111.97	111.28	
AL	1993	4	113.08	112.61	
AL	1994	1	114.05	114.01	
AL	1994	2	116.10	115.69	
AL	1994	3	117.25	116.50	
AL	1994	4	117.85	117.46	
AL	1995	1	118.56	118.47	
AL	1995	2	119.75	119.26	
AL	1995	3	121.47	120.72	
AL	1995	4	121.91	121.61	
AL	1996	1	122.70	122.54	
AL	1996	2	125.01	124.44	
AL	1996	3	125.61	124.87	
AL	1996	4	126.36	126.13	
AL	1997	1	127.77	127.56	
AL	1997	2	128.25	127.58	
AL	1997	3	129.68	128.99	
AL	1997	4	129.50	129.31	
AL	1998	1	130.84	130.56	
AL	1998	2	132.55	131.83	
AL	1998	3	134.00	133.33	
AL	1998	4	135.38	135.20	
AL	1999	1	136.29	135.99	
AL	1999	2	138.07	137.26	
AL	1999	3	138.51	137.87	
AL	1999	4	139.63	139.43	
AL	2000	1	141.03	140.74	
AL	2000	2	142.33	141.49	
AL	2000	3	142.81	142.12	
AL	2000	4	142.69	142.47	
AL	2001	1	144.25	144.04	
AL	2001	2	145.94	145.08	
AL	2001	3	146.86	146.04	
AL	2001	4	147.38	147.16	
AL	2002	1	148.23	148.10	
AL	2002	2	150.26	149.41	
AL	2002	3	151.21	150.22	
AL	2002	4	153.14	152.93	
AL	2003	1	153.98	153.94	
AL	2003	2	156.27	155.40	
AL	2003	3	159.41	158.23	
AL	2003	4	158.91	158.73	
AL	2004	1	160.00	160.08	
AL	2004	2	163.61	162.64	
AL	2004	3	167.26	165.93	
AL	2004	4	168.37	168.24	
AL	2005	1	171.05	171.28	
AL	2005	2	175.13	173.96	
AL	2005	3	179.21	177.68	
AL	2005	4	182.59	182.59	
AL	2006	1	186.84	187.22	
AL	2006	2	192.02	190.56	
AL	2006	3	195.03	193.26	
AL	2006	4	195.77	195.87	
AL	2007	1	197.81	198.40	
AL	2007	2	202.17	200.51	
AL	2007	3	202.10	200.05	
AL	2007	4	200.08	200.31	
AL	2008	1	197.72	198.54	
AL	2008	2	198.27	196.58	
AL	2008	3	195.98	193.68	
AL	2008	4	190.74	191.07	
AL	2009	1	190.45	191.50	
AL	2009	2	192.45	190.78	
AL	2009	3	188.04	185.49	
AL	2009	4	191.44	191.93	
AL	2010	1	183.03	184.23	
AL	2010	2	182.57	180.94	
AL	2010	3	181.89	179.20	
AL	2010	4	174.48	175.05	
AL	2011	1	170.22	171.42	
AL	2011	2	171.69	170.10	
AL	2011	3	173.79	171.14	
AL	2011	4	170.37	171.02	
AL	2012	1	171.65	172.88	
AL	2012	2	178.08	176.31	
AL	2012	3	175.09	172.48	
AL	2012	4	175.61	176.37	
AL	2013	1	176.05	177.25	
AL	2013	2	181.18	179.24	
AL	2013	3	182.57	180.02	
AL	2013	4	180.00	180.82	
AL	2014	1	181.11	182.24	
AL	2014	2	183.66	181.57	
AL	2014	3	185.45	183.08	
AL	2014	4	184.69	185.55	
AL	2015	1	184.39	185.39	
AL	2015	2	191.04	188.82	
AL	2015	3	191.48	189.20	
AL	2015	4	188.99	189.85	
AL	2016	1	191.18	192.10	
AL	2016	2	196.33	194.08	
AL	2016	3	198.62	196.35	
AL	2016	4	197.28	198.19	
AL	2017	1	198.95	199.69	
AL	2017	2	204.40	202.17	
AL	2017	3	206.82	204.53	
AL	2017	4	206.94	207.87	
AL	2018	1	209.31	209.92	
AL	2018	2	215.59	213.39	
AL	2018	3	218.17	215.82	
AL	2018	4	216.90	217.87	
AL	2019	1	221.66	222.11	
AL	2019	2	226.77	224.64	
AL	2019	3	230.58	228.10	
AL	2019	4	231.34	232.38	
AL	2020	1	237.83	238.14	
AL	2020	2	241.77	239.68	
AL	2020	3	249.43	246.66	
AL	2020	4	257.15	258.34	
AL	2021	1	264.99	265.26	
AL	2021	2	280.42	278.12	
AL	2021	3	293.99	290.62	
AL	2021	4	301.27	302.65	
AL	2022	1	314.27	314.67	
AL	2022	2	326.15	323.52	
AL	2022	3	332.23	328.29	
AL	2022	4	331.01	332.47	
AL	2023	1	337.19	337.85	
AL	2023	2	342.12	339.27	
AL	2023	3	350.90	346.66	
AL	2023	4	346.70	348.18	
AL	2024	1	349.31	350.15	
AL	2024	2	362.00	358.97	
AL	2024	3	363.95	359.45	
AL	2024	4	362.70	364.18	
AL	2025	1	365.34	366.37	
AR	1991	1	100.00	100.00	
AR	1991	2	100.50	100.30	
AR	1991	3	101.46	101.27	
AR	1991	4	102.86	102.91	
AR	1992	1	102.93	102.95	
AR	1992	2	103.97	103.74	
AR	1992	3	105.01	104.83	
AR	1992	4	105.50	105.54	
AR	1993	1	107.40	107.46	
AR	1993	2	109.64	109.33	
AR	1993	3	111.62	111.45	
AR	1993	4	111.59	111.66	
AR	1994	1	115.17	115.24	
AR	1994	2	116.57	116.18	
AR	1994	3	117.09	116.96	
AR	1994	4	119.12	119.19	
AR	1995	1	118.94	119.02	
AR	1995	2	121.71	121.28	
AR	1995	3	122.88	122.80	
AR	1995	4	123.63	123.68	
AR	1996	1	124.14	124.19	
AR	1996	2	125.65	125.24	
AR	1996	3	125.33	125.26	
AR	1996	4	125.73	125.72	
AR	1997	1	127.35	127.43	
AR	1997	2	128.00	127.60	
AR	1997	3	128.16	128.07	
AR	1997	4	129.33	129.31	
AR	1998	1	129.35	129.43	
AR	1998	2	129.76	129.41	
AR	1998	3	132.39	132.24	
AR	1998	4	132.70	132.67	
AR	1999	1	133.89	134.01	
AR	1999	2	135.19	134.85	
AR	1999	3	136.07	135.84	
AR	1999	4	136.74	136.72	
AR	2000	1	137.13	137.31	
AR	2000	2	139.73	139.39	
AR	2000	3	140.01	139.68	
AR	2000	4	141.02	141.02	
AR	2001	1	142.64	142.92	
AR	2001	2	143.68	143.29	
AR	2001	3	145.44	145.01	
AR	2001	4	146.10	146.15	
AR	2002	1	146.83	147.14	
AR	2002	2	149.78	149.42	
AR	2002	3	151.27	150.74	
AR	2002	4	152.45	152.49	
AR	2003	1	153.93	154.32	
AR	2003	2	156.81	156.45	
AR	2003	3	159.75	159.15	
AR	2003	4	161.04	161.01	
AR	2004	1	164.14	164.67	
AR	2004	2	167.43	167.07	
AR	2004	3	170.31	169.59	
AR	2004	4	172.59	172.48	
AR	2005	1	174.73	175.48	
AR	2005	2	178.09	177.63	
AR	2005	3	182.07	181.23	
AR	2005	4	185.31	185.19	
AR	2006	1	186.43	187.37	
AR	2006	2	190.19	189.64	
AR	2006	3	191.73	190.78	
AR	2006	4	192.42	192.36	
AR	2007	1	191.55	192.61	
AR	2007	2	195.23	194.46	
AR	2007	3	195.48	194.56	
AR	2007	4	193.15	193.28	
AR	2008	1	189.47	190.36	
AR	2008	2	189.41	188.54	
AR	2008	3	189.18	188.41	
AR	2008	4	184.77	185.11	
AR	2009	1	183.84	184.52	
AR	2009	2	184.68	183.65	
AR	2009	3	184.17	183.55	
AR	2009	4	187.86	188.56	
AR	2010	1	177.98	178.25	
AR	2010	2	183.09	182.02	
AR	2010	3	177.65	177.12	
AR	2010	4	174.90	175.84	
AR	2011	1	177.21	177.22	
AR	2011	2	174.43	173.31	
AR	2011	3	176.04	175.55	
AR	2011	4	177.17	178.43	
AR	2012	1	177.98	177.72	
AR	2012	2	182.75	181.68	
AR	2012	3	181.92	181.27	
AR	2012	4	179.98	181.39	
AR	2013	1	185.76	185.50	
AR	2013	2	186.05	185.02	
AR	2013	3	186.59	185.71	
AR	2013	4	182.90	184.44	
AR	2014	1	186.00	185.69	
AR	2014	2	188.24	187.44	
AR	2014	3	189.19	188.09	
AR	2014	4	190.57	192.07	
AR	2015	1	187.87	187.69	
AR	2015	2	192.77	192.09	
AR	2015	3	196.00	194.79	
AR	2015	4	194.24	195.56	
AR	2016	1	196.14	195.98	
AR	2016	2	198.22	197.77	
AR	2016	3	200.55	199.28	
AR	2016	4	199.05	200.07	
AR	2017	1	203.21	203.27	
AR	2017	2	204.06	203.66	
AR	2017	3	207.79	206.53	
AR	2017	4	209.73	210.51	
AR	2018	1	211.57	211.82	
AR	2018	2	213.57	213.16	
AR	2018	3	216.20	214.98	
AR	2018	4	216.67	217.13	
AR	2019	1	220.67	221.27	
AR	2019	2	223.81	223.27	
AR	2019	3	226.01	224.79	
AR	2019	4	225.27	225.54	
AR	2020	1	227.65	228.54	
AR	2020	2	234.81	234.13	
AR	2020	3	241.96	240.65	
AR	2020	4	249.81	249.98	
AR	2021	1	255.08	256.34	
AR	2021	2	270.33	269.45	
AR	2021	3	283.29	281.60	
AR	2021	4	296.57	296.89	
AR	2022	1	304.13	305.70	
AR	2022	2	316.81	315.73	
AR	2022	3	324.72	322.71	
AR	2022	4	323.90	324.35	
AR	2023	1	330.35	332.03	
AR	2023	2	336.71	335.57	
AR	2023	3	341.84	339.52	
AR	2023	4	345.11	345.95	
AR	2024	1	347.93	349.47	
AR	2024	2	353.95	352.78	
AR	2024	3	363.12	360.60	
AR	2024	4	357.22	358.30	
AR	2025	1	360.09	361.52	
AZ	1991	1	100.00	100.00	
AZ	1991	2	100.23	100.23	
AZ	1991	3	99.32	99.33	
AZ	1991	4	101.63	101.15	
AZ	1992	1	102.08	102.11	
AZ	1992	2	101.50	101.49	
AZ	1992	3	102.67	102.64	
AZ	1992	4	103.63	103.17	
AZ	1993	1	103.99	104.06	
AZ	1993	2	105.20	105.17	
AZ	1993	3	106.79	106.67	
AZ	1993	4	109.05	108.65	
AZ	1994	1	110.16	110.28	
AZ	1994	2	112.47	112.40	
AZ	1994	3	114.36	114.13	
AZ	1994	4	116.30	115.98	
AZ	1995	1	117.03	117.20	
AZ	1995	2	118.97	118.83	
AZ	1995	3	120.89	120.54	
AZ	1995	4	121.86	121.67	
AZ	1996	1	123.49	123.69	
AZ	1996	2	124.94	124.70	
AZ	1996	3	126.39	125.96	
AZ	1996	4	126.59	126.55	
AZ	1997	1	127.64	127.82	
AZ	1997	2	129.41	129.09	
AZ	1997	3	130.71	130.25	
AZ	1997	4	131.63	131.70	
AZ	1998	1	132.93	133.08	
AZ	1998	2	135.57	135.17	
AZ	1998	3	137.41	136.98	
AZ	1998	4	138.50	138.60	
AZ	1999	1	140.77	140.92	
AZ	1999	2	143.17	142.68	
AZ	1999	3	145.33	144.95	
AZ	1999	4	146.71	146.78	
AZ	2000	1	149.11	149.28	
AZ	2000	2	151.64	151.08	
AZ	2000	3	153.07	152.75	
AZ	2000	4	155.39	155.40	
AZ	2001	1	157.28	157.48	
AZ	2001	2	160.69	160.09	
AZ	2001	3	162.51	162.17	
AZ	2001	4	165.46	165.42	
AZ	2002	1	166.18	166.48	
AZ	2002	2	169.85	169.20	
AZ	2002	3	172.50	172.02	
AZ	2002	4	175.66	175.70	
AZ	2003	1	178.73	179.16	
AZ	2003	2	182.76	182.00	
AZ	2003	3	186.53	185.79	
AZ	2003	4	191.91	192.20	
AZ	2004	1	197.49	198.05	
AZ	2004	2	205.52	204.55	
AZ	2004	3	216.00	214.79	
AZ	2004	4	226.93	227.80	
AZ	2005	1	243.09	243.77	
AZ	2005	2	268.16	266.68	
AZ	2005	3	289.74	287.70	
AZ	2005	4	300.79	302.66	
AZ	2006	1	313.18	314.05	
AZ	2006	2	319.39	317.38	
AZ	2006	3	315.55	312.92	
AZ	2006	4	317.40	320.02	
AZ	2007	1	316.36	317.16	
AZ	2007	2	314.92	312.77	
AZ	2007	3	307.89	305.15	
AZ	2007	4	287.51	290.12	
AZ	2008	1	276.41	277.06	
AZ	2008	2	262.93	261.21	
AZ	2008	3	243.95	241.70	
AZ	2008	4	223.20	225.15	
AZ	2009	1	213.67	214.23	
AZ	2009	2	203.28	202.05	
AZ	2009	3	201.48	199.62	
AZ	2009	4	194.01	195.45	
AZ	2010	1	190.21	190.89	
AZ	2010	2	186.81	185.75	
AZ	2010	3	181.14	179.52	
AZ	2010	4	171.87	172.83	
AZ	2011	1	165.77	166.57	
AZ	2011	2	162.23	161.27	
AZ	2011	3	163.44	162.11	
AZ	2011	4	165.98	166.66	
AZ	2012	1	172.02	172.97	
AZ	2012	2	183.22	182.10	
AZ	2012	3	193.74	192.35	
AZ	2012	4	196.68	197.30	
AZ	2013	1	203.40	204.60	
AZ	2013	2	216.49	214.98	
AZ	2013	3	220.51	219.20	
AZ	2013	4	225.55	226.19	
AZ	2014	1	226.91	228.19	
AZ	2014	2	231.96	230.19	
AZ	2014	3	233.22	232.12	
AZ	2014	4	234.81	235.47	
AZ	2015	1	239.59	240.77	
AZ	2015	2	246.01	244.04	
AZ	2015	3	250.65	249.73	
AZ	2015	4	252.78	253.49	
AZ	2016	1	256.86	257.86	
AZ	2016	2	265.16	263.14	
AZ	2016	3	266.75	265.91	
AZ	2016	4	271.44	272.18	
AZ	2017	1	276.56	277.39	
AZ	2017	2	285.51	283.53	
AZ	2017	3	290.17	289.31	
AZ	2017	4	292.71	293.42	
AZ	2018	1	301.43	302.24	
AZ	2018	2	308.18	306.25	
AZ	2018	3	312.40	311.31	
AZ	2018	4	317.55	318.41	
AZ	2019	1	320.03	320.85	
AZ	2019	2	329.25	327.25	
AZ	2019	3	336.15	334.74	
AZ	2019	4	342.58	343.73	
AZ	2020	1	351.34	352.31	
AZ	2020	2	360.69	358.47	
AZ	2020	3	374.98	373.04	
AZ	2020	4	391.55	393.21	
AZ	2021	1	414.14	415.50	
AZ	2021	2	447.16	444.08	
AZ	2021	3	478.94	476.28	
AZ	2021	4	498.18	500.46	
AZ	2022	1	525.80	528.00	
AZ	2022	2	555.31	551.04	
AZ	2022	3	542.14	538.96	
AZ	2022	4	526.19	528.73	
AZ	2023	1	528.65	531.27	
AZ	2023	2	540.71	536.08	
AZ	2023	3	551.84	548.72	
AZ	2023	4	559.10	561.67	
AZ	2024	1	555.84	558.93	
AZ	2024	2	571.69	566.58	
AZ	2024	3	569.34	566.30	
AZ	2024	4	568.74	571.03	
AZ	2025	1	570.83	574.23	
CA	1991	1	100.00	100.00	
CA	1991	2	99.70	99.09	
CA	1991	3	99.50	98.72	
CA	1991	4	99.64	99.04	
CA	1992	1	99.10	99.10	
CA	1992	2	97.99	97.40	
CA	1992	3	97.74	96.94	
CA	1992	4	95.97	95.44	
CA	1993	1	93.66	93.64	
CA	1993	2	92.99	92.43	
CA	1993	3	91.59	90.79	
CA	1993	4	90.42	89.99	
CA	1994	1	88.91	88.89	
CA	1994	2	88.67	88.12	
CA	1994	3	88.30	87.48	
CA	1994	4	87.04	86.71	
CA	1995	1	86.28	86.24	
CA	1995	2	86.22	85.64	
CA	1995	3	86.39	85.55	
CA	1995	4	85.27	85.05	
CA	1996	1	85.06	85.00	
CA	1996	2	85.07	84.44	
CA	1996	3	85.45	84.62	
CA	1996	4	85.28	85.14	
CA	1997	1	84.85	84.76	
CA	1997	2	86.97	86.26	
CA	1997	3	88.18	87.35	
CA	1997	4	88.98	88.89	
CA	1998	1	91.12	91.01	
CA	1998	2	94.46	93.62	
CA	1998	3	96.56	95.71	
CA	1998	4	98.09	98.00	
CA	1999	1	100.59	100.48	
CA	1999	2	103.77	102.80	
CA	1999	3	106.11	105.19	
CA	1999	4	108.22	108.11	
CA	2000	1	111.67	111.57	
CA	2000	2	115.98	114.90	
CA	2000	3	119.70	118.65	
